Accession,taa_1,taa_3-6,taa_ratio,tga_1,tga_3-6,tga_ratio,tag_1,tag_3-6,tag_ratio,ttt_1,ttt_3-6,ttt_ratio,tta_1,tta_3-6,tta_ratio,ttc_1,ttc_3-6,ttc_ratio,ttg_1,ttg_3-6,ttg_ratio,tat_1,tat_3-6,tat_ratio,tac_1,tac_3-6,tac_ratio,tca_1,tca_3-6,tca_ratio,tct_1,tct_3-6,tct_ratio,tcc_1,tcc_3-6,tcc_ratio,tcg_1,tcg_3-6,tcg_ratio,tgt_1,tgt_3-6,tgt_ratio,tgc_1,tgc_3-6,tgc_ratio,tgg_1,tgg_3-6,tgg_ratio,GC,GC3
AE000511,0.024630541871921183,0.03694581280788177,-0.33333333333333326,0.0049261083743842365,0.02339901477832512,-0.7894736842105263,0.0049261083743842365,0.01847290640394089,-0.7333333333333334,0.08374384236453201,0.0751231527093596,0.11475409836065587,0.014778325123152709,0.04926108374384236,-0.7,0.009852216748768473,0.025862068965517244,-0.6190476190476191,0.014778325123152709,0.019704433497536946,-0.25,0.019704433497536946,0.020935960591133004,-0.05882352941176461,0.0,0.011083743842364532,-1.0,0.0049261083743842365,0.024630541871921183,-0.8,0.014778325123152709,0.01354679802955665,0.09090909090909083,0.0,0.0024630541871921183,-1.0,0.0,0.0012315270935960591,-1.0,0.0,0.008620689655172414,-1.0,0.014778325123152709,0.007389162561576354,1.0,0.029556650246305417,0.011083743842364532,1.6666666666666665,38.873183533219375,40.89859641519995
AE002098,0.011764705882352941,0.014705882352941176,-0.19999999999999996,0.011764705882352941,0.0058823529411764705,1.0,0.011764705882352941,0.0029411764705882353,3.0,0.03529411764705882,0.023529411764705882,0.5,0.0,0.0058823529411764705,-1.0,0.0,0.023529411764705882,-1.0,0.058823529411764705,0.029411764705882353,1.0,0.023529411764705882,0.0058823529411764705,3.0,0.023529411764705882,0.0058823529411764705,3.0,0.011764705882352941,0.011764705882352941,0.0,0.011764705882352941,0.014705882352941176,-0.19999999999999996,0.03529411764705882,0.0029411764705882353,11.0,0.023529411764705882,0.011764705882352941,1.0,0.023529411764705882,0.0029411764705882353,7.0,0.023529411764705882,0.03823529411764706,-0.3846153846153847,0.0,0.0029411764705882353,-1.0,51.52783889876604,59.71123614190311
AE004092,0.04938271604938271,0.043209876543209874,0.1428571428571428,0.024691358024691357,0.020061728395061727,0.23076923076923084,0.018518518518518517,0.018518518518518517,0.0,0.030864197530864196,0.05555555555555555,-0.4444444444444444,0.0,0.027777777777777776,-1.0,0.006172839506172839,0.012345679012345678,-0.5,0.012345679012345678,0.020061728395061727,-0.3846153846153846,0.018518518518518517,0.010802469135802469,0.7142857142857142,0.006172839506172839,0.015432098765432098,-0.6,0.024691358024691357,0.023148148148148147,0.06666666666666665,0.030864197530864196,0.018518518518518517,0.6666666666666667,0.006172839506172839,0.010802469135802469,-0.4285714285714286,0.006172839506172839,0.006172839506172839,0.0,0.037037037037037035,0.016975308641975308,1.1818181818181817,0.006172839506172839,0.009259259259259259,-0.33333333333333337,0.012345679012345678,0.009259259259259259,0.33333333333333326,38.511784231872355,31.6688542072041
AE005176,0.102803738317757,0.04205607476635514,1.4444444444444446,0.014018691588785047,0.03037383177570093,-0.5384615384615384,0.004672897196261682,0.016355140186915886,-0.7142857142857143,0.056074766355140186,0.04906542056074766,0.1428571428571428,0.04672897196261682,0.04205607476635514,0.11111111111111116,0.009345794392523364,0.02453271028037383,-0.6190476190476191,0.0,0.02336448598130841,-1.0,0.02336448598130841,0.01985981308411215,0.17647058823529416,0.004672897196261682,0.012850467289719626,-0.6363636363636365,0.004672897196261682,0.018691588785046728,-0.75,0.028037383177570093,0.02803738317757009,2.220446049250313e-16,0.0,0.0011682242990654205,-1.0,0.004672897196261682,0.004672897196261682,0.0,0.004672897196261682,0.007009345794392523,-0.33333333333333337,0.004672897196261682,0.005841121495327103,-0.20000000000000007,0.009345794392523364,0.007009345794392523,0.33333333333333326,35.329383083874674,25.475409051731596
AE006468,0.017045454545454544,0.019886363636363636,-0.1428571428571429,0.008522727272727272,0.01278409090909091,-0.33333333333333337,0.019886363636363636,0.0078125,1.5454545454545454,0.05113636363636364,0.02556818181818182,1.0,0.014204545454545454,0.015625,-0.09090909090909094,0.014204545454545454,0.01065340909090909,0.3333333333333335,0.022727272727272728,0.01775568181818182,0.28,0.036931818181818184,0.014204545454545454,1.6,0.017045454545454544,0.016335227272727276,0.043478260869564966,0.011363636363636364,0.009232954545454544,0.23076923076923106,0.03977272727272727,0.009232954545454546,3.3076923076923075,0.03125,0.01065340909090909,1.9333333333333336,0.019886363636363636,0.011363636363636364,0.75,0.014204545454545454,0.014204545454545456,-1.1102230246251565e-16,0.014204545454545454,0.033380681818181816,-0.574468085106383,0.019886363636363636,0.014914772727272728,0.33333333333333326,52.22170068657424,57.043899779355634
AE014299,0.02654867256637168,0.034292035398230086,-0.22580645161290314,0.0,0.018805309734513276,-1.0,0.017699115044247787,0.015486725663716814,0.1428571428571428,0.03982300884955752,0.032079646017699116,0.24137931034482762,0.030973451327433628,0.03982300884955752,-0.2222222222222222,0.01327433628318584,0.014380530973451327,-0.07692307692307687,0.017699115044247787,0.015486725663716814,0.1428571428571428,0.022123893805309734,0.022123893805309734,0.0,0.01327433628318584,0.0055309734513274336,1.4,0.061946902654867256,0.01327433628318584,3.666666666666667,0.030973451327433628,0.018805309734513276,0.6470588235294117,0.01327433628318584,0.0055309734513274336,1.4,0.02654867256637168,0.01327433628318584,1.0,0.01327433628318584,0.018805309734513276,-0.2941176470588236,0.017699115044247787,0.0165929203539823,0.06666666666666687,0.004424778761061947,0.011061946902654867,-0.6,45.960882617065316,45.78083558393288
AE016823,0.0453257790368272,0.04320113314447592,0.049180327868852514,0.0056657223796034,0.017705382436260624,-0.6799999999999999,0.0056657223796034,0.014872521246458924,-0.6190476190476191,0.0764872521246459,0.09915014164305949,-0.22857142857142854,0.014164305949008499,0.03541076487252125,-0.6,0.028328611898016998,0.022662889518413602,0.24999999999999978,0.019830028328611898,0.02691218130311615,-0.26315789473684226,0.0226628895184136,0.025495750708215296,-0.11111111111111105,0.0028328611898017,0.012747875354107648,-0.7777777777777778,0.0028328611898017,0.014872521246458924,-0.8095238095238095,0.019830028328611898,0.027620396600566574,-0.28205128205128216,0.0226628895184136,0.0084985835694051,1.6666666666666665,0.0056657223796034,0.0113314447592068,-0.5,0.0084985835694051,0.007790368271954675,0.09090909090909105,0.0028328611898017,0.0035410764872521247,-0.19999999999999996,0.0056657223796034,0.0113314447592068,-0.5,35.049524395133716,29.64888454398507
AE017225,0.06896551724137931,0.034482758620689655,1.0,0.034482758620689655,0.016163793103448277,1.1333333333333333,0.04310344827586207,0.016163793103448277,1.6666666666666665,0.034482758620689655,0.03663793103448276,-0.05882352941176483,0.021551724137931036,0.02478448275862069,-0.13043478260869568,0.01293103448275862,0.014008620689655173,-0.07692307692307698,0.021551724137931036,0.018318965517241378,0.17647058823529438,0.04310344827586207,0.0290948275862069,0.4814814814814814,0.017241379310344827,0.014008620689655173,0.23076923076923084,0.017241379310344827,0.011853448275862068,0.4545454545454546,0.01293103448275862,0.020474137931034486,-0.3684210526315791,0.0,0.00646551724137931,-1.0,0.004310344827586207,0.0075431034482758615,-0.4285714285714285,0.017241379310344827,0.017241379310344827,0.0,0.0,0.01293103448275862,-1.0,0.01293103448275862,0.005387931034482759,1.4,35.3794459501406,26.209940212096104
AE017354,0.047619047619047616,0.028571428571428574,0.6666666666666665,0.01904761904761905,0.02142857142857143,-0.11111111111111105,0.009523809523809525,0.009523809523809525,0.0,0.0380952380952381,0.052380952380952375,-0.2727272727272726,0.047619047619047616,0.03333333333333333,0.4285714285714286,0.0380952380952381,0.014285714285714287,1.6666666666666665,0.02857142857142857,0.03095238095238095,-0.07692307692307687,0.01904761904761905,0.02857142857142857,-0.33333333333333326,0.009523809523809525,0.01666666666666667,-0.4285714285714286,0.01904761904761905,0.02142857142857143,-0.11111111111111105,0.009523809523809525,0.01666666666666667,-0.4285714285714286,0.01904761904761905,0.009523809523809525,1.0,0.0,0.009523809523809525,-1.0,0.01904761904761905,0.01904761904761905,0.0,0.0,0.01904761904761905,-1.0,0.0,0.01904761904761905,-1.0,38.26951568595019,32.75505943755892
AL123456,0.007792207792207792,0.005844155844155844,0.33333333333333326,0.01038961038961039,0.014935064935064935,-0.30434782608695654,0.0025974025974025974,0.01038961038961039,-0.75,0.012987012987012988,0.005844155844155844,1.2222222222222223,0.0025974025974025974,0.003896103896103896,-0.33333333333333337,0.01818181818181818,0.014285714285714287,0.2727272727272725,0.015584415584415584,0.007792207792207793,0.9999999999999998,0.0025974025974025974,0.003246753246753247,-0.20000000000000007,0.012987012987012988,0.006493506493506493,1.0000000000000004,0.005194805194805195,0.01038961038961039,-0.5,0.012987012987012988,0.00974025974025974,0.3333333333333335,0.012987012987012988,0.013636363636363637,-0.04761904761904767,0.01818181818181818,0.02012987012987013,-0.09677419354838712,0.005194805194805195,0.016233766233766232,-0.6799999999999999,0.01038961038961039,0.022727272727272728,-0.5428571428571429,0.012987012987012988,0.02012987012987013,-0.35483870967741926,65.61466628826449,78.52914230432377
AL590842,0.009216589861751152,0.019585253456221197,-0.5294117647058822,0.02304147465437788,0.024193548387096774,-0.04761904761904756,0.018433179723502304,0.009216589861751152,1.0,0.07834101382488479,0.027649769585253454,1.8333333333333335,0.03225806451612903,0.03341013824884793,-0.034482758620689724,0.018433179723502304,0.016129032258064516,0.1428571428571428,0.02304147465437788,0.021889400921658985,0.052631578947368585,0.03686635944700461,0.018433179723502304,1.0,0.1152073732718894,0.031105990783410135,2.703703703703704,0.03686635944700461,0.016129032258064516,1.2857142857142856,0.02304147465437788,0.010368663594470046,1.2222222222222223,0.009216589861751152,0.01152073732718894,-0.20000000000000007,0.03225806451612903,0.008064516129032258,3.0,0.027649769585253458,0.021889400921658985,0.26315789473684226,0.0,0.01152073732718894,-1.0,0.018433179723502304,0.013824884792626729,0.33333333333333326,47.63611023248458,48.09749834886232
