Accession,TAA_FourthA,TAA_FourthT,TAA_FourthG,TAA_FourthC,TGA_FourthA,TGA_FourthT,TGA_FourthG,TGA_FourthC,TAG_FourthA,TAG_FourthT,TAG_FourthG,TAG_FourthC,GC,GC
AE000657,0.4076086956521739,0.30978260869565216,0.20108695652173914,0.08152173913043478,0.42857142857142855,0.2761904761904762,0.20952380952380953,0.08571428571428572,0.16666666666666666,0.5,0.11904761904761904,0.21428571428571427,43.476167301066496,47.18621732053671
AE014184,0.2624113475177305,0.2765957446808511,0.20567375886524822,0.2553191489361702,0.3275862068965517,0.33620689655172414,0.16379310344827586,0.1724137931034483,0.208,0.216,0.336,0.24,46.331997200483556,43.31984798362862
AE015928,0.3785557986870897,0.3227571115973742,0.17778993435448578,0.12089715536105033,0.3092224231464738,0.39783001808318263,0.1518987341772152,0.1410488245931284,0.35084033613445376,0.27521008403361347,0.19117647058823528,0.18277310924369747,42.83717823940185,44.58875565762742
AE016825,0.23300970873786409,0.18446601941747573,0.4521497919556172,0.130374479889043,0.18324937027707808,0.23173803526448364,0.38476070528967254,0.20025188916876574,0.15489130434782608,0.08967391304347826,0.27445652173913043,0.48097826086956524,64.83374306473475,83.15720006089714
AE017282,0.28654970760233917,0.1871345029239766,0.28654970760233917,0.23976608187134502,0.2540485829959514,0.21153846153846154,0.27125506072874495,0.2631578947368421,0.18627450980392157,0.10784313725490197,0.3627450980392157,0.3431372549019608,63.58457295840506,77.96001192983474
AL935263,0.266986410871303,0.3908872901678657,0.17985611510791366,0.16227018385291767,0.2681992337164751,0.3716475095785441,0.20306513409961685,0.15708812260536398,0.1670103092783505,0.3979381443298969,0.2,0.23505154639175257,44.46688649939107,45.13685216456338
AM180252,0.2711864406779661,0.4312617702448211,0.08662900188323917,0.21092278719397364,0.22857142857142856,0.5714285714285714,0.11428571428571428,0.08571428571428572,0.2546583850931677,0.5341614906832298,0.09316770186335403,0.11801242236024845,33.2844865496402,18.680945512211654
AM236080,0.2759124087591241,0.22043795620437956,0.3167883211678832,0.18686131386861313,0.19246376811594204,0.28289855072463765,0.29043478260869565,0.23420289855072463,0.2509505703422053,0.13688212927756654,0.3060836501901141,0.3060836501901141,61.09037476108047,75.9558218001485
AM260479,0.10690423162583519,0.16703786191536749,0.5679287305122495,0.15812917594654788,0.1781895937277263,0.203136136849608,0.3620812544547398,0.25659301496792586,0.09695290858725762,0.13850415512465375,0.30193905817174516,0.4626038781163435,66.46591142419408,85.22432239106415
AM260525,0.4451219512195122,0.2658536585365854,0.17560975609756097,0.11341463414634147,0.30357142857142855,0.3821428571428571,0.20714285714285716,0.10714285714285714,0.4056603773584906,0.16037735849056603,0.19339622641509435,0.24056603773584906,38.856063299022054,30.077139499859406
AM494475,0.38619402985074625,0.33955223880597013,0.125,0.14925373134328357,0.24489795918367346,0.40816326530612246,0.1836734693877551,0.16326530612244897,0.3386243386243386,0.291005291005291,0.13756613756613756,0.2328042328042328,30.5310497961732,21.365218147233982
