Accession,ASC_f,Codon_f,GC,GC3
AE000657,0.17582417582417584,0.3564954682779456,43.476167301066496,47.18621732053671
AE014184,0.26506024096385544,0.31518324607329845,46.331997200483556,43.31984798362862
AE015928,0.27637130801687765,0.304095204760238,42.83717823940185,44.58875565762742
AE016825,0.22727272727272727,0.17997758685095255,64.83374306473475,83.15720006089714
AE017282,0.1836734693877551,0.18855465884079237,63.58457295840506,77.96001192983474
AL935263,0.3434065934065934,0.28112168252378567,44.46688649939107,45.13685216456338
AM180252,0.44324324324324327,0.40183727034120736,33.2844865496402,18.680945512211654
AM236080,0.2028985507246377,0.20633514986376023,61.09037476108047,75.9558218001485
AM260479,0.20121951219512196,0.1465883416177135,66.46591142419408,85.22432239106415
AM260525,0.29155313351498635,0.3429878048780488,38.856063299022054,30.077139499859406
AM494475,0.39845758354755784,0.3798165137614679,30.5310497961732,21.365218147233982
AM711867,0.23214285714285715,0.10164765525982256,72.66422692563216,94.7975161479547
AM743169,0.36764705882352944,0.16044376434583016,66.32404518043852,83.25334333965804
AM889285,0.22485207100591717,0.17733405288720994,66.43110337985524,80.11588632313429
AM902716,0.23529411764705882,0.16729857819905214,65.48282415680934,81.62050779849977
AM942759,0.35749751737835156,0.3497797356828194,38.89968663300527,30.75245291987967
AM999887,0.25773195876288657,0.35420054200542006,34.19024523509989,26.635196840406515
AP006628,0.27896995708154504,0.35780445969125213,27.75984301810356,19.896437816443562
AP006840,0.1751412429378531,0.13084384093113482,68.6684043088666,89.4912651578391
AP007255,0.22705314009661837,0.20552861299709022,65.093510400737,83.14199548369172
AP008230,0.2527254707631318,0.26929039952295764,47.35989345501921,50.59483233199998
AP008955,0.20748663101604278,0.23413318953895929,47.2735528479921,49.388060253065156
AP008971,0.2553191489361702,0.3172595520421607,32.3127743623778,26.650776270876232
AP009152,0.10869565217391304,0.09712041884816754,71.16380109284755,92.56099655074152
AP009153,0.2698412698412698,0.18010204081632653,64.27436141406316,76.88042010162982
AP009178,0.21739130434782608,0.3370967741935484,39.688625407429775,36.53261266972793
AP009179,0.3,0.3252047315741583,43.87148618201701,46.96062298295081
AP009380,0.24623115577889448,0.2541864139020537,48.359283634112224,53.05509468872864
AP009384,0.1510791366906475,0.14928488596830305,67.31902211118089,85.58033965760337
AP009389,0.17548076923076922,0.25889781859931116,52.96110399537247,62.3289097746804
AP009484,0.28211009174311924,0.30486685032139577,36.87685627905118,30.775165231510314
AP009510,0.25149700598802394,0.35,35.20740200576095,30.40007037897882
AP009552,0.3156225218080888,0.30345119627355494,42.33063114485447,39.50931745666048
AP010904,0.19938650306748465,0.18777963272120202,62.769421550751524,77.06766538646693
AP010946,0.19285714285714287,0.1617990005552471,67.76023397993896,87.04108079465419
AP010953,0.2767052767052767,0.2693324937027708,50.68482282649143,52.79602195346696
AP010968,0.18974358974358974,0.08759811616954474,74.19750348332366,95.43552890821465
AP011112,0.1518987341772152,0.3195729537366548,44.000263892354866,46.140012543177605
AP011121,0.15730337078651685,0.27100346020761246,53.03682379505382,53.06410333113375
AP011529,0.3261802575107296,0.35809199318568996,31.118260965301925,22.211041788684792
AP011615,0.34408602150537637,0.26748934260713486,43.650355346998246,41.46555477408334
AP012027,0.22262773722627738,0.3227329192546584,36.55623983118011,28.019531441606464
AP012029,0.2358490566037736,0.27494181536074475,53.84967293987223,61.151795580452166
AP012035,0.23469387755102042,0.15465587044534412,67.5791744356647,83.28976118847989
