Accession,F_p1,F_utr,GC,GC3
AE000657,0.24,0.28888888888888886,43.476167301066496,47.18621732053671
AE014184,0.3063063063063063,0.27627627627627627,46.331997200483556,43.31984798362862
AE015928,0.31901840490797545,0.2517609634174051,42.83717823940185,44.58875565762742
AE016825,0.21492921492921493,0.15122265122265122,64.83374306473475,83.15720006089714
AE017282,0.20102564102564102,0.17857549857549856,63.58457295840506,77.96001192983474
AL935263,0.3021276595744681,0.23356973995271868,44.46688649939107,45.13685216456338
AM180252,0.4915254237288136,0.3126177024482109,33.2844865496402,18.680945512211654
AM236080,0.26631079478054565,0.1888757084486622,61.09037476108047,75.9558218001485
AM260479,0.191027496382055,0.13796430294259526,66.46591142419408,85.22432239106415
AM260525,0.308,0.30622222222222223,38.856063299022054,30.077139499859406
AM494475,0.35074626865671643,0.32172470978441126,30.5310497961732,21.365218147233982
AM711867,0.28646748681898065,0.11286858035539933,72.66422692563216,94.7975161479547
AM743169,0.2838150289017341,0.1628131021194605,66.32404518043852,83.25334333965804
AM889285,0.22146507666098808,0.16638273708120385,66.43110337985524,80.11588632313429
AM902716,0.21732522796352582,0.15501519756838905,65.48282415680934,81.62050779849977
AM942759,0.5397489539748954,0.29660622966062294,38.89968663300527,30.75245291987967
AM999887,0.33043478260869563,0.2647342995169082,34.19024523509989,26.635196840406515
AP006628,0.2982456140350877,0.30214424951267055,27.75984301810356,19.896437816443562
AP006840,0.15257531584062195,0.12158514199330527,68.6684043088666,89.4912651578391
AP007255,0.2813397129186603,0.18926103136629452,65.093510400737,83.14199548369172
AP008230,0.2546174142480211,0.21753151568454998,47.35989345501921,50.59483233199998
AP008955,0.28688524590163933,0.22422586520947177,47.2735528479921,49.388060253065156
AP008971,0.5517241379310345,0.25287356321839083,32.3127743623778,26.650776270876232
AP009152,0.11726907630522089,0.09165551093261937,71.16380109284755,92.56099655074152
AP009153,0.27643630308076605,0.17476177259690998,64.27436141406316,76.88042010162982
AP009178,0.36,0.3288888888888889,39.688625407429775,36.53261266972793
AP009179,0.4808743169398907,0.28536733454766244,43.87148618201701,46.96062298295081
AP009380,0.3415977961432507,0.23660850933578206,48.359283634112224,53.05509468872864
AP009384,0.19111969111969113,0.14146289146289145,67.31902211118089,85.58033965760337
AP009389,0.18427518427518427,0.21075621075621076,52.96110399537247,62.3289097746804
AP009484,0.3488372093023256,0.26744186046511625,36.87685627905118,30.775165231510314
AP009510,0.3148148148148148,0.3168724279835391,35.20740200576095,30.40007037897882
AP009552,0.237029501525941,0.24121171018424326,42.33063114485447,39.50931745666048
AP010904,0.22210300429184548,0.18085360038149736,62.769421550751524,77.06766538646693
AP010946,0.22684458398744112,0.15428222571079714,67.76023397993896,87.04108079465419
AP010953,0.40512820512820513,0.24002849002849003,50.68482282649143,52.79602195346696
AP010968,0.06296743063932449,0.07709422329446455,74.19750348332366,95.43552890821465
AP011112,0.24444444444444444,0.2802469135802469,44.000263892354866,46.140012543177605
AP011121,0.3392461197339246,0.2409460458240946,53.03682379505382,53.06410333113375
AP011529,0.39344262295081966,0.30783242258652094,31.118260965301925,22.211041788684792
AP011615,0.2322503008423586,0.22623345367027678,43.650355346998246,41.46555477408334
AP012027,0.3333333333333333,0.30925925925925923,36.55623983118011,28.019531441606464
